Horizon started successfully.
[2023-01-08 18:19:36][675] Processed:  Modules\Tasks\Events\TaskCommentAdded
[2023-01-08 18:19:36][676] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 18:19:36][676] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 18:26:30][677] Processing: Modules\Tasks\Events\TaskCommentAdded
[2023-01-08 18:26:30][677] Processed:  Modules\Tasks\Events\TaskCommentAdded
[2023-01-08 18:26:30][678] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 18:26:30][678] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 20:52:35][679] Processing: App\Events\NotificationRead
[2023-01-08 20:52:35][679] Processed:  App\Events\NotificationRead
[2023-01-08 20:52:36][680] Processing: App\Events\NotificationRead
[2023-01-08 20:52:36][680] Processed:  App\Events\NotificationRead
[2023-01-08 22:51:13][681] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 22:51:13][681] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 22:51:13][682] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 22:51:13][682] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 22:51:13][683] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 22:51:13][683] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 22:51:13][684] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 22:51:13][684] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 22:51:19][685] Processing: App\Events\NotificationRead
[2023-01-08 22:51:19][685] Processed:  App\Events\NotificationRead
[2023-01-08 22:51:19][686] Processing: App\Events\NotificationRead
[2023-01-08 22:51:19][686] Processed:  App\Events\NotificationRead
[2023-01-08 22:51:26][687] Processing: App\Events\NotificationRead
[2023-01-08 22:51:26][687] Processed:  App\Events\NotificationRead
[2023-01-08 23:58:07][688] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 23:58:07][688] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 23:58:07][689] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 23:58:07][689] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 23:58:29][692] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 23:58:29][692] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 23:58:28][691] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 23:58:28][691] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 23:58:28][690] Processing: Modules\Tasks\Events\TaskUpdated
[2023-01-08 23:58:28][690] Processed:  Modules\Tasks\Events\TaskUpdated
[2023-01-09 02:09:30][693] Processing: Modules\Tasks\Events\TaskUpdated
[2023-01-09 02:09:30][693] Processed:  Modules\Tasks\Events\TaskUpdated
[2023-01-09 02:09:30][694] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 02:09:30][694] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 02:09:30][695] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 02:09:30][695] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 02:09:30][696] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 02:09:30][696] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 09:14:46][697] Processing: App\Events\NotificationReadAll
[2023-01-09 09:14:46][697] Processed:  App\Events\NotificationReadAll
[2023-01-09 10:10:12][698] Processing: Modules\Tasks\Events\TaskUpdated
[2023-01-09 10:10:12][698] Processed:  Modules\Tasks\Events\TaskUpdated
[2023-01-09 10:10:12][699] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 10:10:12][699] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 10:11:05][700] Processing: Modules\Tasks\Events\TaskCommentAdded
[2023-01-09 10:11:05][700] Processed:  Modules\Tasks\Events\TaskCommentAdded
[2023-01-09 10:11:05][701] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 10:11:05][701] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 10:13:30][702] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 10:13:30][702] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 10:13:30][703] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 10:13:30][703] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 10:32:01][704] Processing: App\Events\NotificationRead
[2023-01-09 10:32:01][704] Processed:  App\Events\NotificationRead
[2023-01-09 11:10:58][705] Processing: App\Events\NotificationRead
[2023-01-09 11:10:58][705] Processed:  App\Events\NotificationRead
[2023-01-09 11:11:17][706] Processing: App\Events\NotificationReadAll
[2023-01-09 11:11:17][706] Processed:  App\Events\NotificationReadAll
[2023-01-09 14:14:23][707] Processing: App\Events\NotificationReadAll
[2023-01-09 14:14:23][707] Processed:  App\Events\NotificationReadAll
[2023-01-09 15:47:02][708] Processing: Modules\Tasks\Events\TaskUpdated
[2023-01-09 15:47:02][708] Processed:  Modules\Tasks\Events\TaskUpdated
[2023-01-09 15:47:02][709] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 15:47:02][709] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][711] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:31][711] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:31][712] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][712] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][714] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][714] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][716] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][716] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][718] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][718] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:36:31][719] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:36:31][719] Processed:  Modules\Tasks\Events\TaskStatusUpdated
